Average_Price,Destination,Source,Weekend_Date
0.0,JAX,BOS,2017-29
0.0,JAX,BOS,2017-30
0.0,JAX,BOS,2017-31
349.0,JAX,BOS,2017-32
0.0,JAX,BOS,2017-33
0.0,JAX,BOS,2017-34
1027.6666666666667,LAS,BOS,2017-16
618.3333333333334,LAS,BOS,2017-17
487.5,LAS,BOS,2017-18
384.0,LAS,BOS,2017-19
593.6666666666666,LAS,BOS,2017-20
538.0,LAS,BOS,2017-21
423.0,LAS,BOS,2017-22
406.5,LAS,BOS,2017-23
378.375,LAS,BOS,2017-24
610.0,LAS,BOS,2017-25
608.0,LAS,BOS,2017-26
445.0,LAS,BOS,2017-27
406.25,LAS,BOS,2017-28
386.875,LAS,BOS,2017-29
477.0,LAS,BOS,2017-30
477.0,LAS,BOS,2017-31
477.0,LAS,BOS,2017-32
508.0,LAS,BOS,2017-33
396.0,LAS,BOS,2017-34
720.5,MSY,BOS,2017-16
564.5,MSY,BOS,2017-17
589.5,MSY,BOS,2017-18
457.0,MSY,BOS,2017-19
557.0,MSY,BOS,2017-20
586.5,MSY,BOS,2017-21
483.0,MSY,BOS,2017-22
427.0,MSY,BOS,2017-23
494.0,MSY,BOS,2017-24
735.0,MSY,BOS,2017-25
475.5,MSY,BOS,2017-26
545.0,MSY,BOS,2017-27
629.5,MSY,BOS,2017-28
461.0,MSY,BOS,2017-29
491.5,MSY,BOS,2017-30
471.0,MSY,BOS,2017-31
458.5,MSY,BOS,2017-32
0.0,MSY,BOS,2017-33
433.5,MSY,BOS,2017-34
0.0,PBI,BOS,2017-16
438.5,PBI,BOS,2017-17
327.0,PBI,BOS,2017-18
295.0,PBI,BOS,2017-19
247.0,PBI,BOS,2017-20
358.0,PBI,BOS,2017-21
248.0,PBI,BOS,2017-22
223.0,PBI,BOS,2017-23
224.0,PBI,BOS,2017-24
0.0,PBI,BOS,2017-25
361.5,PBI,BOS,2017-26
0.0,PBI,BOS,2017-27
271.0,PBI,BOS,2017-28
0.0,PBI,BOS,2017-29
272.0,PBI,BOS,2017-30
0.0,PBI,BOS,2017-31
286.0,PBI,BOS,2017-32
0.0,PBI,BOS,2017-33
0.0,PBI,BOS,2017-34
544.0,RDU,BOS,2017-16
406.0,RDU,BOS,2017-17
313.0,RDU,BOS,2017-18
445.0,RDU,BOS,2017-19
430.0,RDU,BOS,2017-20
361.0,RDU,BOS,2017-21
252.5,RDU,BOS,2017-22
298.0,RDU,BOS,2017-23
298.0,RDU,BOS,2017-24
328.0,RDU,BOS,2017-25
0.0,RDU,BOS,2017-26
0.0,RDU,BOS,2017-27
264.0,RDU,BOS,2017-28
274.0,RDU,BOS,2017-29
309.0,RDU,BOS,2017-30
274.0,RDU,BOS,2017-31
316.5,RDU,BOS,2017-32
265.0,RDU,BOS,2017-33
0.0,RDU,BOS,2017-34
0.0,SAV,BOS,2017-16
632.0,SAV,BOS,2017-17
690.0,SAV,BOS,2017-18
371.0,SAV,BOS,2017-19
552.5,SAV,BOS,2017-20
547.5,SAV,BOS,2017-21
494.5,SAV,BOS,2017-22
316.5,SAV,BOS,2017-23
334.0,SAV,BOS,2017-24
